IDCode,Fur_THg_ng/g_dw,WingPunch_MeHg_ng/g_dw,WholeBlood_THg_ng/g_ww,CommonName,Sex,CollectionDate,SiteName,SiteCode,NationalParkUnit,Latitude,Longitude
23BATS0102,7369,39.4,23.5,Yuma myotis,F,6/2/2023,Colorado River Bridge (Fruita),COLM-06,Colorado National Monument (COLM),39.140924,-108.738256
23BATS0103,6659,,14.6,Yuma myotis,F,6/2/2023,Colorado River Bridge (Fruita),COLM-06,Colorado National Monument (COLM),39.140924,-108.738256
23BATS0104,1072,53.6,14.0,Yuma myotis,F,6/2/2023,Colorado River Bridge (Fruita),COLM-06,Colorado National Monument (COLM),39.140924,-108.738256
23BATS0106,2677,65.7,19.9,Yuma myotis,F,6/2/2023,Colorado River Bridge (Fruita),COLM-06,Colorado National Monument (COLM),39.140924,-108.738256
23BATS0105,42691,187,306.2,Yuma myotis,F,6/2/2023,Colorado River Bridge (Fruita),COLM-06,Colorado National Monument (COLM),39.140924,-108.738256
23BATS0107,534,32.8,8.5,Yuma myotis,F,6/2/2023,Colorado River Bridge (Fruita),COLM-06,Colorado National Monument (COLM),39.140924,-108.738256
23BATS0108,2827,33.5,8.9,Yuma myotis,F,6/2/2023,Colorado River Bridge (Fruita),COLM-06,Colorado National Monument (COLM),39.140924,-108.738256
23BATS0111,2944,33.9,15.7,Yuma myotis,F,6/2/2023,Colorado River Bridge (Fruita),COLM-06,Colorado National Monument (COLM),39.140924,-108.738256
23BATS0110,4616,36.9,20.4,Yuma myotis,F,6/2/2023,Colorado River Bridge (Fruita),COLM-06,Colorado National Monument (COLM),39.140924,-108.738256
23BATS0061,7234,92.6,35.0,Big brown bat,M,5/30/2023,Pool Creek,DINO-29,Dinosaur National Monument (DINO),40.516877,-108.995873
23BATS0076,2124,,43.5,Big brown bat,M,5/30/2023,Pool Creek,DINO-29,Dinosaur National Monument (DINO),40.516877,-108.995873
23BATS0057,19404,138.3,71.7,Big brown bat,M,5/29/2023,Haystack Reservoir,DINO-30,Dinosaur National Monument (DINO),40.452356,-108.672769
23BATS0068,8324,109.5,37.8,Big brown bat,M,5/29/2023,Haystack Reservoir,DINO-30,Dinosaur National Monument (DINO),40.452356,-108.672769
23BATS0067,7761,,24.8,Big brown bat,M,5/29/2023,Haystack Reservoir,DINO-30,Dinosaur National Monument (DINO),40.452356,-108.672769
